steps,currentTime,done,speed,reward,gap,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
1195,102.258,0,33.617244720458984,0.39932151515729736,-0.12152755296224917,191.2054901123047,-236.5279541015625,6478.78515625,39.82500076293945,0.002203076146543026,1.0,4,53259,-5.212048053741455,-0.13646285235881805,33.21046447753906,-0.1768396645784378,0.0037172737065702677,-0.39180588722229004,0.023354116827249527,0,4011.347882049595,0.0,0.14748094591777772,1.0,-0.8436504155397415,0.3473775088787079,0.08533817529678345,0.32572829723358154,2611,0.0
1196,102.297,0,33.772377014160156,0.40127937893853355,-0.11811858045158516,190.9864959716797,-235.19613647460938,6549.03564453125,33.79499816894531,0.0,1.0,4,53263,-5.698812007904053,-0.12589673697948456,33.2878532409668,-0.1937183290719986,0.005836308002471924,-0.45165932178497314,-0.03604307398200035,0,4012.658040283248,0.0,0.1252193598775193,1.0,-1.0,-0.1669618934392929,0.22823147475719452,-0.603791356086731,2612,0.0
1197,102.339,0,33.98004150390625,0.4040463988880512,-0.10930237264121227,190.74757385253906,-233.86050415039062,6517.87646484375,36.62999725341797,0.0,1.0,4,53267,-6.230379104614258,-0.13178780674934387,33.403717041015625,-0.21113038063049316,0.007831410504877567,-0.4195498824119568,-0.012199997901916504,0,4014.079752466583,0.0,0.1356947923777625,1.0,-1.0,0.07856573909521103,0.3549029231071472,-0.5944019556045532,2613,0.0
1198,102.378,0,34.15275573730469,0.4065142047289739,-0.09717705195476058,190.489013671875,-232.52259826660156,6571.36572265625,16.334999084472656,0.0,1.0,4,53271,-6.691354274749756,-0.15825095772743225,33.4904670715332,-0.226852148771286,0.009374184533953667,-0.3444187343120575,0.06802865862846375,0,4015.410505275562,0.0,0.060503071057610214,1.0,-1.0,-0.5639379024505615,0.4571884572505951,-0.17675316333770752,2614,0.0
1199,102.417,0,34.31114196777344,0.40882935518489527,-0.08464738454679911,190.21188354492188,-231.1796112060547,6655.43896484375,19.439998626708984,0.0,1.0,4,53275,-7.127681255340576,-0.20393891632556915,33.562015533447266,-0.23981203138828278,0.007771520875394344,-0.3350890874862671,0.05888200178742409,0,4016.7419445703854,0.0,0.07192493684124202,1.0,-1.0,0.08566398918628693,0.2389206886291504,-0.6189857721328735,2615,0.0
1200,102.459,0,34.493019104003906,0.411277032991555,-0.07651392441276753,189.9177703857422,-229.8354949951172,6705.06005859375,30.55500030517578,0.0,1.0,4,53279,-7.5683674812316895,-0.303993284702301,33.65108871459961,-0.25318989157676697,0.006506218109279871,-0.3381895124912262,0.03812801465392113,0,4018.185281057813,0.0,0.11316870979499072,1.0,-1.0,0.3093282878398895,0.21503089368343353,-0.5330193638801575,2615,0.0
1201,102.498,0,34.68716049194336,0.41387405095844604,-0.06837904605726333,189.60650634765625,-228.48741149902344,6688.68896484375,51.165000915527344,0.0,1.0,4,53283,-8.00269889831543,-0.3934451639652252,33.74909210205078,-0.26620033383369446,0.004954948090016842,-0.28777292370796204,0.08370902389287949,0,4019.532852769975,0.0,0.1894757532281801,1.0,-1.0,0.5723028182983398,0.18502680957317352,-0.22265328466892242,2616,0.0
1202,102.537,0,34.83171844482422,0.4159121274842566,-0.05938535179970065,189.27731323242188,-227.13636779785156,6791.2705078125,48.105003356933594,0.0,1.0,4,53287,-8.443841934204102,-0.48873528838157654,33.78921890258789,-0.2775248885154724,0.0035507199354469776,-0.31075698137283325,0.08640797436237335,0,4020.891065012722,0.0,0.17810405779164284,1.0,-1.0,-0.08528771251440048,0.37749922275543213,-0.1586890071630478,2617,0.0
1203,102.579,0,34.969303131103516,0.41801255101748547,-0.046300223647197436,188.9283447265625,-225.78506469726562,6836.0048828125,30.104999542236328,0.0,0.9149999618530273,4,53291,-9.002464294433594,-0.5194962024688721,33.786651611328125,-0.2931266129016876,0.0016377274878323078,-0.4536161422729492,-0.03287395089864731,0,4022.3546528325533,0.0,0.11150048661511391,0.8299030959606171,-1.0,-0.4995267689228058,-0.35436856746673584,-0.3285377621650696,2618,0.0
1204,102.618,0,35.150909423828125,0.42085007919600537,-0.027334538584676597,188.55674743652344,-224.43301391601562,6752.5478515625,20.249998092651367,0.0,0.9333000183105469,4,53295,-9.587008476257324,-0.4710759222507477,33.81499099731445,-0.3126109838485718,0.0027974960394203663,-0.44977179169654846,-0.0739031583070755,0,4023.719729933742,0.0,0.07497303548734635,0.8665506914258003,-1.0,-0.2739558815956116,0.0763491615653038,-0.3389500081539154,2619,0.0
1205,102.657,0,35.311161041259766,0.42363176434914196,-0.0028933669401553343,188.16107177734375,-223.0802764892578,6744.93359375,24.2549991607666,0.0,0.9191499948501587,4,53299,-10.183691024780273,-0.40198713541030884,33.808414459228516,-0.3277130126953125,0.0024916790425777435,-0.36025768518447876,-0.007648448459804058,0,4025.0968205372046,0.0,0.08972414105664939,0.8382820021361113,-1.0,0.11063328385353088,-0.058893103152513504,-0.5724908113479614,2620,0.0
1206,102.699,0,35.454612731933594,0.42448907915649364,0.027253819806616054,187.7374725341797,-221.71971130371094,6853.3603515625,29.114999771118164,0.0,1.0,4,53303,-10.82196044921875,-0.3321719467639923,33.760990142822266,-0.3415147364139557,0.001192325260490179,-0.3671058416366577,-0.019306108355522156,0,4026.5834056328167,0.0,0.10788697085808963,1.0,-1.0,0.13622121512889862,0.3795662224292755,-0.6140977144241333,2621,0.0
1207,102.738,0,35.627601623535156,0.42532863284240513,0.061822478630212396,187.293212890625,-220.36956787109375,6844.439453125,38.20499801635742,0.0,1.0,4,53307,-11.397605895996094,-0.3108472526073456,33.75387191772461,-0.35753902792930603,-0.002519817790016532,-0.37668320536613464,-0.03811350092291832,0,4027.966674608877,0.0,0.14151953987311572,1.0,-1.0,0.2522442638874054,0.1885659247636795,-0.513612687587738,2622,0.0
1208,102.78,0,35.81224822998047,0.4261294347923335,0.10101415426925674,186.8253936767578,-219.01759338378906,6866.79638671875,43.064998626708984,0.0,1.0,4,53311,-11.971884727478027,-0.3303624391555786,33.75028991699219,-0.3710483908653259,-0.003745737485587597,-0.3250766694545746,0.029306752607226372,0,4029.470421850594,0.0,0.15945393859874457,1.0,-1.0,0.13450798392295837,0.4803643226623535,-0.7348407506942749,2623,0.0
1209,102.819,0,35.96245574951172,0.4264016182704734,0.1431451389060693,186.33580017089844,-217.6662139892578,6946.103515625,23.625,0.0,1.0,4,53315,-12.48843765258789,-0.35116830468177795,33.722599029541016,-0.3836929202079773,-0.0031974504236131907,-0.336207777261734,0.03840210661292076,0,4030.8729124302918,0.0,0.08741170435678214,1.0,-0.9957921151071787,-0.5403167009353638,0.531220555305481,0.00876642670482397,2624,0.0
